time;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;djf;mam;jja;son;winter;summer;year
1984;0.39;-0.81;1.81;6.63;9.25;14.55;17.34;16.45;12.21;9.49;5.79;1.22;0.11;5.9;16.11;9.16;2.39;12.74;7.86
1985;-5.4;-0.87;2.43;7.77;11.73;13.67;18.61;16.71;14.94;9.44;0.97;2.58;-1.69;7.31;16.33;8.45;2.11;13.9;7.71
1986;0.33;-5.01;3.12;5.64;13.84;15.43;17.22;16.61;13.41;10.3;4.66;1.13;-0.7;7.54;16.42;9.45;1.9;13.69;8.06
1987;-4.31;0.62;0.96;8.86;9.26;13.63;17.46;16.82;16.26;10.2;4.66;2.06;-0.85;6.36;15.97;10.38;2.23;13.72;8.04
1988;3.18;1.17;2.97;8.62;13.34;14.89;17.33;17.49;13.47;10.35;2.65;2.01;2.14;8.31;16.57;8.82;4.04;14.19;8.95
1989;0.54;2.52;7.26;6.76;13.68;14.81;18.14;17.22;13.54;9.95;2.47;1.99;1.69;9.23;16.72;8.65;4.22;14.02;9.07
1990;0.28;5.64;6.51;6.6;14.06;14.68;17.79;18.26;12.99;10.91;3.79;-0.54;2.64;9.06;16.91;9.23;4.47;14.06;9.25
1991;0.42;-1.64;6.61;6.86;9.25;14.28;19.09;19;15.83;8.07;3.76;-0.8;-0.59;7.57;17.46;9.22;3.26;14.05;8.39
1992;-1.24;1.27;5.32;7.87;14.16;15.08;18.29;20.04;13.97;7.44;6.06;0.78;-0.26;9.12;17.81;9.16;2.73;14.9;9.09
1993;2.66;-0.78;3.71;9.69;13.78;16.18;16.56;17.35;12.52;7.7;1.35;3.3;0.89;9.06;16.69;7.19;3.31;14.34;8.67
1994;2.04;1.9;8.45;6.58;12.78;16.3;20.64;18.85;13.34;9.16;7.39;3.03;2.42;9.27;18.6;9.96;4.12;14.75;10.04
1995;-0.32;4.38;3.11;8.42;12.27;14.07;20.06;17.14;11.53;12.21;3.64;0.07;2.36;7.93;17.09;9.13;4.46;13.91;8.88
1996;0.21;-0.82;2.66;8.78;11.89;16.59;16.7;16.23;10.63;9.08;4.23;-0.38;-0.18;7.78;16.51;7.98;2.99;13.47;7.98
1997;-1.46;3.68;6.8;7.35;12.92;15.22;16.24;18.9;14.67;8.72;4.4;2.12;0.62;9.02;16.79;9.26;3.66;14.22;9.13
1998;1.42;3.07;5.02;7.87;14;16.65;18.22;17.93;13.03;9.41;1.47;0.44;2.21;8.96;17.6;7.97;4.13;14.62;9.04
1999;1.47;-0.8;5.29;8;14.57;14.77;18.35;17.53;16.06;9.29;1.86;1.43;0.37;9.29;16.88;9.07;2.88;14.88;8.98
2000;-0.58;3.27;5.33;9.33;14.51;17.41;15.57;18.43;14.58;9.91;5.26;3.57;1.37;9.72;17.14;9.92;3.43;14.97;9.72
2001;1.34;2.75;6.67;6.42;14.75;14.85;18.15;18.67;11.09;12.69;2.45;-0.74;2.55;9.28;17.22;8.74;4.92;13.99;9.09
2002;0.01;4.77;6.37;8.44;12.19;18.45;17.56;16.85;12.45;9.58;6.1;3.32;1.34;9;17.62;9.37;4.26;14.32;9.67
2003;-0.52;-1.94;6.68;8.82;14.05;21.64;19.56;21.91;14.01;6.48;5.17;1.29;0.28;9.85;21.04;8.55;3.87;16.67;9.76
2004;0.57;1.51;3.76;8.81;11.58;16.07;17.56;17.95;14.66;11.19;3.76;0.35;1.12;8.05;17.19;9.87;3.13;14.44;8.98
2005;-0.4;-1.88;4.68;8.7;13.2;17.92;18.04;15.92;15.04;10.65;3.47;-1.11;-0.64;8.86;17.29;9.72;2.95;14.8;8.69
2006;-2.28;-0.36;2.77;8.24;12.84;17.37;21.86;14.54;16.53;12.38;6.68;2.17;-1.25;7.95;17.93;11.86;2.19;15.23;9.4
